id,name,address,ip
00000,тов. Тетерин Назар Бориславович,"к. Елабуга, алл. Куйбышева, д. 7/4 стр. 9, 692070",176.63.187.250
00001,тов. Тихонова Людмила Ниловна,"г. Чусовой, пер. Нагорный, д. 596 к. 18, 300886",215.221.148.7
00002,Виноградов Ярослав Антонович,"клх Азов (Рост.), пер. Минина, д. 70 стр. 18, 418842",44.47.202.23
00003,тов. Лазарев Харлампий Андреевич,"к. Иркутск, бул. Трудовой, д. 28 к. 83, 587524",49.93.102.127
00004,тов. Некрасова Глафира Альбертовна,"к. Стерлитамак, ш. Дачное, д. 3/9, 673104",199.192.193.93
00005,Давыд Тихонович Сысоев,"клх Углич, ш. Фабричное, д. 22 стр. 92, 040089",176.19.190.232
00006,Гремислав Григорьевич Богданов,"д. Кетченеры, ул. Ореховая, д. 29 к. 73, 542698",210.55.11.186
00007,Аггей Валерианович Гаврилов,"клх Луга, ш. Школьное, д. 9/5 к. 6, 991977",100.164.57.134
00008,тов. Шубина Евдокия Федоровна,"к. Владивосток, ш. Байкальское, д. 266 стр. 6, 646529",203.87.222.227
00009,Феофан Всеволодович Блинов,"с. Кандалакша, ш. Степное, д. 7, 263936",132.243.123.12
